Index	Weekday	Start	End	StartTime	EndTime	Duration
1	1	HZ	HEB	08:45	17:40	07时05分
2	3	HZ	HEB	08:45	17:40	07时05分
3	5	HZ	HEB	08:45	17:40	07时05分
4	7	HZ	HEB	08:45	17:40	07时05分
5	1	HEB	HZ	18:30	23:35	04时20分
6	3	HEB	HZ	18:30	23:35	04时20分
7	5	HEB	HZ	18:30	23:35	04时20分
8	7	HEB	HZ	18:30	23:35	04时20分
9	2	HZ	HEB	08:45	18:05	07时30分
10	4	HZ	HEB	08:45	18:05	07时30分
11	6	HZ	HEB	08:45	18:05	07时30分
12	2	HEB	HZ	18:55	23:35	03时55分
13	4	HEB	HZ	18:55	23:35	03时55分
14	6	HEB	HZ	18:55	23:35	03时55分
15	1	HZ	HEB	09:25	14:25	04时15分
16	3	HZ	HEB	09:25	14:25	04时15分
17	5	HZ	HEB	09:25	14:25	04时15分
18	7	HZ	HEB	09:25	14:25	04时15分
19	1	HEB	HZ	15:15	00:35	07时35分
20	3	HEB	HZ	15:15	00:35	07时35分
21	5	HEB	HZ	15:15	00:35	07时35分
22	7	HEB	HZ	15:15	00:35	07时35分
23	2	HZ	HEB	09:25	14:25	03时55分
24	4	HZ	HEB	09:25	14:25	03时55分
25	6	HZ	HEB	09:25	14:25	03时55分
26	2	HEB	HZ	15:15	00:35	07时35分
27	4	HEB	HZ	15:15	00:35	07时35分
28	6	HEB	HZ	15:15	00:35	07时35分
29	1	HZ	HZ	07:15	12:55	04时50分
30	3	HZ	HZ	07:15	12:55	04时50分
31	5	HZ	HZ	07:15	12:55	04时50分
32	7	HZ	HZ	07:15	12:55	04时50分
33	1	HZ	HZ	14:50	00:50	07时10分
34	3	HZ	HZ	14:50	00:50	07时10分
35	5	HZ	HZ	14:50	00:50	07时10分
36	7	HZ	HZ	14:50	00:50	07时10分
37	2	HZ	HZ	07:15	12:55	04时50分
38	4	HZ	HZ	07:15	12:55	04时50分
39	6	HZ	HZ	07:15	12:55	04时50分
40	2	HZ	HZ	14:50	00:40	07时05分
41	4	HZ	HZ	14:50	00:40	07时05分
42	6	HZ	HZ	14:50	00:40	07时05分
43	1	HZ	HZ	13:45	00:05	06时40分
44	3	HZ	HZ	13:45	00:05	06时40分
45	7	HZ	HZ	13:45	00:05	06时40分
46	5	HZ	HZ	10:55	00:05	06时35分
47	2	HZ	HZ	06:30	13:10	05时35分
48	4	HZ	HZ	06:30	13:10	00时00分
49	6	HZ	HZ	06:30	13:10	00时00分
50	2	HZ	XA	15:45	20:20	03时30分
51	4	HZ	XA	15:45	20:20	03时30分
52	6	HZ	XA	15:45	20:20	03时30分
53	2	XA	HZ	21:20	01:15	03时10分
54	4	XA	HZ	21:20	01:15	03时10分
55	6	XA	HZ	21:20	01:15	03时10分
56	3	HZ	SZ	11:00	01:15	07时10分
57	2	HZ	SZ	10:45	01:15	07时20分
58	4	HZ	SZ	10:45	01:15	07时20分
59	6	HZ	SZ	10:45	01:15	07时20分
60	1	HZ	SZ	10:45	01:15	07时20分
